variables,secondary_cover_1930,elevation,southwestness,slope,solar_radiation_summer,solar_radiation_equinox,solar_radiation_winter,road_dist,precipitation,max_temp,mean_temp,min_temp,max_vpd_jan,max_vpd_aug,available_water_supply,bulk_density,organic_matter,clay,sand,silt,number_fires,min_return_interval,min_anomaly
secondary_cover_1930,1,-0.151443044,0.299992993,0.118695595,-0.062469752,0.197602533,0.234948154,-0.089483647,-0.151059789,0.128338532,0.138904441,0.067655703,0.148719374,0.093758979,0.076341057,-0.146917962,0.175267795,0.142574835,-0.147609158,0.125609411,0.084309835,0.010048726,-0.161594948
elevation,-0.151443044,1,-0.219228341,-0.284448961,0.640264741,0.341576251,0.232851883,0.438226704,0.864699872,-0.605699706,-0.645472483,-0.176114445,-0.929297315,-0.422389714,-0.244209634,0.640719382,-0.392386865,-0.525190588,0.636976812,-0.596241469,-0.095887648,0.118510587,0.495234763
southwestness,0.299992993,-0.219228341,1,0.172736768,-0.094181932,0.445127703,0.565431219,-0.162624051,-0.112473986,0.176696113,0.078007361,-0.033853834,0.205605254,0.154302536,0.003860661,-0.183081565,0.06310899,0.115445161,-0.170833696,0.17407077,0.16221131,-0.096275971,-0.181564954
slope,0.118695595,-0.284448961,0.172736768,1,-0.869201651,-0.485734741,-0.26316726,-0.234099596,-0.224975213,0.282004654,0.103103202,-0.1031977,0.28874538,0.233229681,-0.032972712,-0.137060639,0.129725975,0.057027598,-0.148116263,0.176168393,0.066596633,0.08799891,-0.183487194
solar_radiation_summer,-0.062469752,0.640264741,-0.094181932,-0.869201651,1,0.699212549,0.497335668,0.316177411,0.565209465,-0.486940522,-0.34691859,0.01610645,-0.612507991,-0.377516054,-0.049102993,0.360776325,-0.265285877,-0.253099886,0.384308695,-0.396259788,-0.079184107,-0.040011174,0.346695898
solar_radiation_equinox,0.197602533,0.341576251,0.445127703,-0.485734741,0.699212549,1,0.952853649,0.087543025,0.428479401,-0.306331401,-0.221795098,-0.007204469,-0.348579327,-0.239257537,-0.028412844,0.190088536,-0.151338021,-0.151835172,0.224456923,-0.228993964,0.018674032,-0.040092746,0.167772163
solar_radiation_winter,0.234948154,0.232851883,0.565431219,-0.26316726,0.497335668,0.952853649,1,0.006855168,0.345392138,-0.240206439,-0.175000445,-0.021414403,-0.241889786,-0.194197749,-0.029807385,0.118893995,-0.088652602,-0.107396632,0.140126124,-0.135745767,0.052857673,-0.017641237,0.108943679
road_dist,-0.089483647,0.438226704,-0.162624051,-0.234099596,0.316177411,0.087543025,0.006855168,1,0.173631275,-0.131981384,-0.520271341,-0.416245242,-0.346262272,0.079256924,-0.372485197,0.213507665,-0.116204212,-0.316313005,0.275382364,-0.21026152,-0.048786762,0.323807318,0.409536662
precipitation,-0.151059789,0.864699872,-0.112473986,-0.224975213,0.565209465,0.428479401,0.345392138,0.173631275,1,-0.648162138,-0.591022551,-0.131569696,-0.880922332,-0.501100092,-0.14769089,0.696750347,-0.361903688,-0.540862158,0.73220593,-0.720474432,-0.179371413,0.021190287,0.437415162
max_temp,0.128338532,-0.605699706,0.176696113,0.282004654,-0.486940522,-0.306331401,-0.240206439,-0.131981384,-0.648162138,1,0.359667586,-0.206527812,0.716438682,0.954532074,-0.142152214,-0.5733893,0.036807493,0.286861177,-0.508372638,0.550777164,0.175447158,0.006786043,-0.413898338
