"","plot_number","grass_1930","tree_1930","chaparral_1930","sage_1930","barren_1930","dom_veg_1930","sec_veg_1930","dominant_cover_1930","secondary_cover_1930","dominant_veg_1930","secondary_veg_1930","grass_2009","tree_2009","chaparral_2009","sage_2009","barren_2009","dom_veg_2009","sec_veg_2009","dominant_cover_2009","secondary_cover_2009","dominant_veg_2009","secondary_veg_2009"
"1",0,5,45,0,0,0,45,5,90,10,"tree","grass",4,46,0,0,0,46,4,92,8,"tree","grass"
"2",1,22,0,19,9,0,22,19,44,38,"grass","chaparral",22,0,27,1,0,27,22,54,44,"chaparral","grass"
"3",2,0,0,44,0,6,44,6,88,12,"chaparral","barren",12,0,33,0,5,33,12,66,24,"chaparral","grass"
"4",3,20,23,7,0,0,23,20,46,40,"tree","grass",38,12,0,0,0,38,12,76,24,"grass","tree"
"5",4,13,0,7,30,0,30,13,60,26,"sage","grass",24,0,0,26,0,26,24,52,48,"sage","grass"
"6",5,8,0,34,0,8,34,8,68,16,"chaparral","grass",21,0,29,0,0,29,21,58,42,"chaparral","grass"
"7",6,9,41,0,0,0,41,9,82,18,"tree","grass",23,27,0,0,0,27,23,54,46,"tree","grass"
"8",7,13,0,0,37,0,37,13,74,26,"sage","grass",13,0,0,37,0,37,13,74,26,"sage","grass"
"9",8,21,1,0,28,0,28,21,56,42,"sage","grass",36,1,0,13,0,36,13,72,26,"grass","sage"
"10",9,20,0,30,0,0,30,20,60,40,"chaparral","grass",40,0,10,0,0,40,10,80,20,"grass","chaparral"
"11",10,17,33,0,0,0,33,17,66,34,"tree","grass",40,10,0,0,0,40,10,80,20,"grass","tree"
"12",11,2,0,43,0,5,43,5,86,10,"chaparral","barren",3,0,44,0,3,44,3,88,6,"chaparral","grass"
"13",12,9,0,19,0,22,22,19,44,38,"barren","chaparral",11,0,28,0,11,28,11,56,22,"chaparral","grass"
"14",13,17,33,0,0,0,33,17,66,34,"tree","grass",1,49,0,0,0,49,1,98,2,"tree","grass"
"15",14,7,0,43,0,0,43,7,86,14,"chaparral","grass",4,0,45,0,1,45,4,90,8,"chaparral","grass"
"16",15,20,1,0,29,0,29,20,58,40,"sage","grass",41,0,3,6,0,41,6,82,12,"grass","sage"
"17",16,21,13,16,0,0,21,16,42,32,"grass","chaparral",15,1,34,0,0,34,15,68,30,"chaparral","grass"
"18",17,3,0,36,0,11,36,11,72,22,"chaparral","barren",7,0,30,0,13,30,13,60,26,"chaparral","barren"
"19",18,13,29,8,0,0,29,13,58,26,"tree","grass",43,0,7,0,0,43,7,86,14,"grass","chaparral"
"20",19,12,0,38,0,0,38,12,76,24,"chaparral","grass",23,0,27,0,0,27,23,54,46,"chaparral","grass"
"21",20,27,23,0,0,0,27,23,54,46,"grass","tree",32,18,0,0,0,32,18,64,36,"grass","tree"
"22",21,12,0,0,38,0,38,12,76,24,"sage","grass",46,0,0,4,0,46,4,92,8,"grass","sage"
"23",22,1,0,49,0,0,49,1,98,2,"chaparral","grass",5,0,45,0,0,45,5,90,10,"chaparral","grass"
"24",23,6,0,44,0,0,44,6,88,12,"chaparral","grass",7,0,43,0,0,43,7,86,14,"chaparral","grass"
"25",24,4,0,22,24,0,24,22,48,44,"sage","chaparral",26,0,15,9,0,26,15,52,30,"grass","chaparral"
"26",25,18,0,32,0,0,32,18,64,36,"chaparral","grass",28,0,17,5,0,28,17,56,34,"grass","chaparral"
"27",26,9,0,41,0,0,41,9,82,18,"chaparral","grass",32,0,8,10,0,32,10,64,20,"grass","sage"
"28",27,18,0,0,32,0,32,18,64,36,"sage","grass",47,0,0,3,0,47,3,94,6,"grass","sage"
"29",28,18,0,0,32,0,32,18,64,36,"sage","grass",20,0,30,0,0,30,20,60,40,"chaparral","grass"
"30",29,25,0,25,0,0,25,25,50,50,"mixed","mixed",33,0,16,1,0,33,16,66,32,"grass","chaparral"
"31",30,7,0,43,0,0,43,7,86,14,"chaparral","grass",9,0,41,0,0,41,9,82,18,"chaparral","grass"
"32",31,9,0,41,0,0,41,9,82,18,"chaparral","grass",35,0,15,0,0,35,15,70,30,"grass","chaparral"
"33",32,5,0,45,0,0,45,5,90,10,"chaparral","grass",6,0,44,0,0,44,6,88,12,"chaparral","grass"
"34",33,19,31,0,0,0,31,19,62,38,"tree","grass",10,40,0,0,0,40,10,80,20,"tree","grass"
"35",34,37,0,13,0,0,37,13,74,26,"grass","chaparral",47,0,3,0,0,47,3,94,6,"grass","chaparral"
"36",35,24,0,26,0,0,26,24,52,48,"chaparral","grass",15,0,35,0,0,35,15,70,30,"chaparral","grass"
"37",36,3,0,47,0,0,47,3,94,6,"chaparral","grass",17,0,33,0,0,33,17,66,34,"chaparral","grass"
"38",37,19,0,31,0,0,31,19,62,38,"chaparral","grass",8,0,42,0,0,42,8,84,16,"chaparral","grass"
"39",38,25,0,0,25,0,25,25,50,50,"mixed","mixed",41,0,7,2,0,41,7,82,14,"grass","chaparral"
"40",39,15,0,27,8,0,27,15,54,30,"chaparral","grass",45,0,0,5,0,45,5,90,10,"grass","sage"
